name,price
Apple iPhone 14 (128 GB) - Purple,"₹58,999"
Apple iPhone 13 (128GB) - Pink,"₹52,590"
Apple iPhone 14 (128 GB) - Midnight,"₹58,999"
Apple iPhone 14 (128 GB) - Blue,"₹58,999"
Apple iPhone 15 (128 GB) - Blue,"₹71,290"
Apple iPhone 13 (128GB) - Green,"₹52,590"
Apple iPhone 13 (128GB) - Starlight,"₹52,800"
Apple iPhone 15 (128 GB) - Black,"₹71,290"
Apple iPhone 13 (256GB) - Midnight,"₹61,890"
Apple iPhone 15 (256 GB) - Blue,"₹80,590"
Apple iPhone 13 (256GB) - Starlight,"₹61,890"
Apple iPhone 15 (128 GB) - Green,"₹71,290"
Apple iPhone 15 (128 GB) - Pink,"₹71,290"
Apple iPhone 15 Pro (256 GB) - Natural Titanium,"₹1,37,990"
Apple iPhone 13 (256GB) - Pink,"₹61,890"
Apple iPhone 14 (128 GB) - Purple,"₹58,999"
Apple iPhone 13 (128GB) - Pink,"₹52,590"
Apple iPhone 14 (128 GB) - Midnight,"₹58,999"
Apple iPhone 14 (128 GB) - Blue,"₹58,999"
Apple iPhone 15 (128 GB) - Blue,"₹71,290"
Apple iPhone 13 (128GB) - Green,"₹52,590"
Apple iPhone 13 (128GB) - Starlight,"₹52,800"
Apple iPhone 15 (128 GB) - Black,"₹71,290"
Apple iPhone 13 (256GB) - Midnight,"₹61,890"
Apple iPhone 13 (256GB) - Starlight,"₹61,890"
Apple iPhone 15 (256 GB) - Blue,"₹80,590"
Apple iPhone 15 (128 GB) - Green,"₹71,290"
Apple iPhone 15 (128 GB) - Pink,"₹71,290"
Apple iPhone 13 (256GB) - Pink,"₹61,890"
Apple iPhone 15 Pro (256 GB) - Natural Titanium,"₹1,37,990"
Apple iPhone 14 (128 GB) - Purple,"₹58,999"
Apple iPhone 13 (128GB) - Pink,"₹52,590"
Apple iPhone 14 (128 GB) - Midnight,"₹58,999"
Apple iPhone 14 (128 GB) - Blue,"₹58,999"
Apple iPhone 15 (128 GB) - Blue,"₹71,290"
Apple iPhone 13 (128GB) - Green,"₹52,590"
Apple iPhone 13 (128GB) - Starlight,"₹52,800"
Apple iPhone 15 (128 GB) - Black,"₹71,290"
Apple iPhone 13 (256GB) - Midnight,"₹61,890"
Apple iPhone 15 (256 GB) - Blue,"₹80,590"
Apple iPhone 13 (256GB) - Starlight,"₹61,890"
Apple iPhone 15 (128 GB) - Green,"₹71,290"
Apple iPhone 15 (128 GB) - Pink,"₹71,290"
Apple iPhone 15 Pro (256 GB) - Natural Titanium,"₹1,37,990"
Apple iPhone 13 (256GB) - Pink,"₹61,890"
Apple iPhone 14 (128 GB) - Purple,"₹58,999"
Apple iPhone 13 (128GB) - Pink,"₹52,590"
Apple iPhone 14 (128 GB) - Midnight,"₹58,999"
Apple iPhone 14 (128 GB) - Blue,"₹58,999"
Apple iPhone 15 (128 GB) - Blue,"₹71,290"
Apple iPhone 13 (128GB) - Green,"₹52,590"
Apple iPhone 13 (128GB) - Starlight,"₹52,800"
Apple iPhone 15 (128 GB) - Black,"₹71,290"
Apple iPhone 13 (256GB) - Midnight,"₹61,890"
Apple iPhone 13 (256GB) - Starlight,"₹61,890"
Apple iPhone 15 (256 GB) - Blue,"₹80,590"
Apple iPhone 15 (128 GB) - Green,"₹71,290"
Apple iPhone 15 (128 GB) - Pink,"₹71,290"
Apple iPhone 13 (256GB) - Pink,"₹61,890"
Apple iPhone 15 Pro (256 GB) - Natural Titanium,"₹1,37,990"
Apple iPhone 14 (128 GB) - Purple,"₹58,999"
Apple iPhone 13 (128GB) - Pink,"₹52,590"
Apple iPhone 14 (128 GB) - Midnight,"₹58,999"
Apple iPhone 14 (128 GB) - Blue,"₹58,999"
Apple iPhone 15 (128 GB) - Blue,"₹71,290"
Apple iPhone 13 (128GB) - Green,"₹52,590"
Apple iPhone 13 (128GB) - Starlight,"₹52,800"
Apple iPhone 15 (128 GB) - Black,"₹71,290"
Apple iPhone 13 (256GB) - Midnight,"₹61,890"
Apple iPhone 13 (256GB) - Starlight,"₹61,890"
Apple iPhone 15 (256 GB) - Blue,"₹80,590"
Apple iPhone 15 (128 GB) - Green,"₹71,290"
Apple iPhone 15 (128 GB) - Pink,"₹71,290"
Apple iPhone 13 (256GB) - Pink,"₹61,890"
Apple iPhone 15 Pro (256 GB) - Natural Titanium,"₹1,37,990"
